order_id,restaurant_id,customer_id,carrier_id,customer_lat,customer_lon,date,time,is_peak_time,is_weekend,carrier_vehicle,shopping_cart,coupon_discount,order_price,shortest_distance_to_customer,travel_time_minutes,restaurant_rating,delivery_charges
ORD064612,REST1137,CUST12750,COUR3509,-37.8163702,144.9286073,2020-08-08,01:46:48,0,1,Bike,"[('chicken biryani', 2), ('cocktails', 2), ('momos', 1), ('pizza', 1)]",0,95.99,5357,27,9.6,6.1081
ORD115343,REST1137,CUST06041,COUR2635,-37.8065109,144.9427983,2020-12-11,04:36:55,0,0,Car,"[('pizza', 3), ('momos', 2), ('murgh ghee roast', 3), ('chicken biryani', 2)]",0,85.11,3192,6,9.6,3.2726
ORD265122,REST1946,CUST06940,COUR0953,-37.8060123,144.9560517,2020-08-14,19:03:17,1,0,Motorbike,"[('yakhni pulao', 1), ('biryani', 2), ('butter naan', 2), ('mutton pepper fry', 2)]",0,119.33,1843,4,3.97,5.029
ORD273635,REST1137,CUST07541,COUR3905,-37.812821500000005,144.9431476,2020-06-19,02:06:35,0,0,Motorbike,"[('crispy corn', 3), ('pizza', 1), ('momos', 3), ('chicken kebab', 1)]",45,58.289,3160,6,9.6,3.0515
ORD189794,REST2155,CUST05546,COUR2034,-37.8132167,144.9484308,2020-02-14,00:39:33,0,0,Bike,"[('sweet lassi', 3), ('cheese naan', 1), ('thali', 3)]",20,56.8,6578,33,7.63,5.7925
ORD124474,REST1946,CUST03330,COUR1984,-37.804888500000004,144.9522312,2020-08-07,02:30:19,0,0,Motorbike,"[('butter naan', 2), ('yakhni pulao', 3), ('roti', 2), ('paneer malai tikka', 3)]",10,175.779,4336,3,3.97,3.1497
ORD036784,REST2185,CUST07732,COUR2410,-37.801974200000004,144.957198,2020-07-28,21:57:21,0,0,Car,"[('rajma', 2), ('shahi paneer', 2)]",0,50.54,2733,7,8.18,3.2148
ORD104012,REST2185,CUST04837,COUR0179,-37.8098827,144.9433844,2020-02-09,17:32:18,0,1,Motorbike,"[('rajma', 2), ('jeera rice', 2), ('biryani', 3), ('custard', 3)]",0,173.9,2021,4,8.18,4.2862
ORD176032,REST1137,CUST04382,COUR3110,-37.824327600000004,144.97310990000003,2020-11-29,18:03:57,1,1,Car,"[('fish', 3), ('mocktails', 1), ('momos', 2), ('chicken biryani', 2)]",45,42.938,2573,6,9.6,5.8796
ORD195052,REST1572,CUST09825,COUR4494,-37.8154751,144.9665885,2020-09-09,00:43:30,0,0,Bike,"[('mocktails', 3), ('caramel pudding', 1), ('bbq chicken', 2), ('sea food', 1)]",0,117.08,371,2,7.42,2.6696
ORD145655,REST2185,CUST06250,COUR2992,-37.8134729,144.9501737,2020-09-11,11:28:21,0,0,bike,"[('protein chapati', 1), ('rajma', 1)]",0,20.32,1365,3,8.18,2.7693
ORD215995,REST1137,CUST05468,COUR4198,-37.8127385,144.9650912,2020-07-06,18:00:00,1,0,Motorbike,"[('murgh ghee roast', 2), ('mocktails', 3), ('pizza', 2), ('chicken biryani', 2)]",45,40.948,1211,2,9.6,4.3736
ORD044504,REST2155,CUST10519,COUR1911,-37.8243311,144.99048259999998,2020-12-28,22:01:19,0,0,Bike,"[('kulfi', 1), ('thali', 2)]",0,27.26,2933,15,7.63,4.2822
ORD259606,REST1572,CUST09657,COUR4537,-37.802133000000005,145.0041449,2020-06-11,08:02:38,0,0,Bike,"[('caramel pudding', 1), ('mocktails', 2), ('pizza', 3), ('bbq chicken', 3)]",0,170.91,4522,23,9.28,4.5511
ORD257202,REST1572,CUST02134,COUR2190,-37.7997727,144.9493612,2020-07-30,03:33:37,0,0,Motorbike,"[('pizza', 3), ('cocktails', 3)]",0,85.14,2865,6,9.28,3.1785
ORD287448,REST2185,CUST08482,COUR4320,-37.8233739,144.97874380000002,2020-02-18,18:39:33,1,0,Bike,"[('custard', 3), ('biryani', 1), ('jeera rice', 1), ('protein chapati', 3)]",45,63.8,2247,11,6.54,5.144
ORD313691,REST2155,CUST02713,COUR1197,-37.8223751,145.00509499999998,2020-07-17,16:32:58,0,0,Car,"[('butter kulcha', 3), ('sweet lassi', 3)]",0,63.96,1490,4,9.54,3.1179
ORD215061,REST1572,CUST12986,COUR2286,-37.812243200000005,144.9524053,2020-01-08,15:25:42,0,0,Bike,"[('cocktails', 1), ('wedges', 3), ('pizza', 1), ('sea food', 3)]",0,118.35,1925,10,7.42,3.6065
ORD009838,REST2155,CUST01823,COUR2178,-37.8153761,144.9553213,2020-03-03,05:36:15,0,0,Bike,"[('thali', 3), ('palak paneer', 2), ('sweet lassi', 3)]",45,39.479,4695,23,7.63,5.1686
ORD081409,REST1572,CUST05159,COUR1546,-37.8251142,144.9561678,2020-01-23,16:09:13,0,0,Bike,"[('caramel pudding', 3), ('pizza', 2)]",45,47.96,2202,11,7.42,3.7728
ORD150688,REST1137,CUST09777,COUR3419,-37.8032412,144.9925347,2020-09-30,01:46:48,0,0,Motorbike,"[('crispy corn', 1), ('fish', 1), ('chicken kebab', 2), ('cocktails', 3)]",0,121.27,2675,2,9.6,2.9258
ORD233771,REST2155,CUST08923,COUR0678,-37.813520000000004,144.9685284,2020-07-28,20:50:06,0,0,Car,"[('thali', 2), ('sweet lassi', 3), ('cheese naan', 1), ('biryani', 3)]",0,81.67,3589,9,9.54,3.6324
ORD003766,REST1137,CUST01534,COUR1326,-37.82691320000001,144.9895501,2020-07-17,16:52:44,0,0,Bike,"[('chicken kebab', 3), ('gulab jamun', 1), ('murgh ghee roast', 3), ('mocktails', 3)]",0,94.3,3004,15,7.68,4.3539
ORD006165,REST2155,CUST06851,COUR0592,-37.8059066,144.95606919999997,2020-08-13,12:23:44,1,0,Motorbike,"[('sweet lassi', 1), ('thali', 1), ('biryani', 3), ('palak paneer', 1)]",0,49.09,4343,9,7.63,4.5106
ORD206141,REST1572,CUST09655,COUR2457,-37.801485299999996,145.00364219999997,2020-06-05,06:59:20,0,0,Motorbike,"[('veg starter', 1), ('bbq chicken', 2), ('caramel pudding', 2)]",10,70.281,4517,9,9.28,3.692
ORD333723,REST2185,CUST07456,COUR0138,-37.8201023,144.968385,2020-05-24,12:51:25,1,1,Car,"[('sweet lassi', 1), ('shahi paneer', 3)]",10,40.365,1207,3,6.54,5.2747
ORD325918,REST1946,CUST07171,COUR1152,-37.805456400000004,144.9971616,2020-02-19,22:01:19,0,0,Car,"[('biryani', 3), ('mutton pepper fry', 3), ('chicken tenders', 2)]",0,139.12,5816,14,3.97,4.5924
ORD187343,REST2185,CUST00541,COUR0335,-37.8275615,144.9828777,2020-08-08,19:54:43,1,1,Car,"[('protein chapati', 2), ('jeera rice', 2), ('rajma', 2), ('custard', 1)]",0,78.96,2822,7,8.18,6.1168
ORD328596,REST1946,CUST06870,COUR1220,-37.8063007,144.9593668,2020-06-13,07:58:40,0,1,Bike,"[('paneer malai tikka', 3), ('biryani', 2), ('mutton pepper fry', 1), ('butter naan', 2)]",10,134.847,2137,11,3.97,5.9368
ORD011132,REST1946,CUST05546,COUR1553,-37.8132167,144.9484308,2020-10-30,17:20:26,0,0,Motorbike,"[('mutton pepper fry', 2), ('paneer malai tikka', 2), ('butter naan', 1)]",0,105.43,1876,4,3.97,3.4317
ORD280880,REST2155,CUST05580,COUR4389,-37.813614,144.9537664,2020-08-12,11:24:23,0,0,Bike,"[('biryani', 2), ('palak paneer', 1), ('butter kulcha', 3)]",0,74.48,4723,24,7.63,5.1414
ORD302789,REST2185,CUST11583,COUR3349,-37.8169773,144.97688290000002,2020-11-18,04:29:00,0,0,Car,"[('rajma', 1), ('biryani', 2)]",10,47.808,2260,5,6.54,2.9374
ORD300102,REST1137,CUST09914,COUR4482,-37.8262873,144.95208799999997,2020-04-27,09:17:48,0,0,Bike,"[('gulab jamun', 3), ('murgh ghee roast', 2), ('pizza', 1)]",40,50.694,3475,17,7.68,4.5761
ORD324678,REST2155,CUST02286,COUR4858,-37.818884000000004,144.9637335,2020-06-08,05:04:36,0,0,Motorbike,"[('kulfi', 1), ('butter kulcha', 1), ('cheese naan', 1), ('palak paneer', 2)]",40,71.38,4111,8,7.63,3.364
ORD268131,REST2185,CUST03658,COUR4566,-37.800039399999996,144.9694091,2020-11-25,23:44:10,0,0,Bike,"[('sweet lassi', 3), ('custard', 1)]",20,50.816,3612,18,8.18,4.4526
ORD124033,REST1572,CUST01870,COUR0082,-37.8241825,144.980334,2020-10-16,00:07:54,0,0,Motorbike,"[('mocktails', 3), ('wedges', 2), ('veg starter', 3)]",10,139.257,1695,3,7.42,2.4062
ORD226226,REST2185,CUST03972,COUR2525,-37.8205351,145.0144159,2020-12-05,13:07:15,1,1,Bike,"[('jeera rice', 2), ('custard', 2), ('rajma', 3)]",0,106.64,5502,28,8.18,8.3021
ORD254061,REST1572,CUST03365,COUR4154,-37.821236,144.96326059999998,2020-05-13,14:06:35,0,0,Bike,"[('sea food', 1), ('veg starter', 3), ('wedges', 1), ('bbq chicken', 3)]",0,133.79,610,3,9.28,3.0763
ORD337558,REST1137,CUST03113,COUR0369,-37.8142076,144.9857075,2020-04-15,11:16:29,0,0,Bike,"[('gulab jamun', 2), ('pizza', 1)]",0,50.99,1748,9,9.6,3.6492
ORD138593,REST1137,CUST00849,COUR2486,-37.8000381,145.0000366,2020-07-20,08:46:09,0,0,Bike,"[('mocktails', 3), ('gulab jamun', 2), ('momos', 1), ('chicken kebab', 1)]",10,78.21,3561,18,7.68,4.1035
ORD261681,REST1946,CUST12781,COUR4804,-37.799597,144.9256581,2020-08-19,18:43:30,1,0,Motorbike,"[('yakhni pulao', 2), ('biryani', 2), ('mutton pepper fry', 3)]",45,74.432,1466,3,3.97,5.1273
ORD051202,REST2185,CUST08454,COUR0080,-37.801917100000004,144.9571681,2020-09-13,02:46:09,0,1,Motorbike,"[('jeera rice', 1), ('protein chapati', 1), ('sweet lassi', 3)]",0,51.9,2726,5,6.54,4.6312
ORD085337,REST1946,CUST05255,COUR2029,-37.818493700000005,144.9642026,2020-08-21,01:23:04,0,0,Bike,"[('yakhni pulao', 2), ('paneer malai tikka', 2), ('chicken tenders', 3), ('butter naan', 3)]",40,103.158,3336,17,4.96,5.0417
ORD137627,REST1137,CUST03065,COUR2408,-37.7993191,144.97025259999998,2020-09-24,12:03:57,1,0,Motorbike,"[('crispy corn', 1), ('chicken kebab', 2), ('cocktails', 3)]",10,103.509,1516,3,7.68,4.6385
ORD022916,REST2155,CUST10545,COUR4788,-37.799408299999996,144.9365256,2020-08-03,23:36:15,0,0,Bike,"[('butter kulcha', 2), ('cheese naan', 1)]",40,33.636,6320,32,9.54,5.6648
ORD098533,REST2185,CUST04708,COUR2491,-37.8094773,144.97442959999998,2020-09-18,22:48:47,0,0,Bike,"[('custard', 3), ('rajma', 3)]",40,70.128,2715,14,6.54,3.8261
ORD247905,REST1946,CUST04334,COUR2882,-37.8226117,144.9848055,2020-10-26,00:00:00,0,0,Car,"[('biryani', 1), ('chicken tenders', 2), ('roti', 3)]",40,59.058,5241,13,4.96,4.8127
ORD230678,REST2185,CUST12657,COUR3763,-37.8034945,144.9498875,2020-12-10,05:00:39,0,0,Bike,"[('shahi paneer', 2), ('sweet lassi', 2), ('rajma', 1)]",45,34.111,2552,13,6.54,4.1076
ORD025060,REST1946,CUST10654,COUR4263,-37.8069329,144.95893,2020-09-05,23:40:13,1,1,Car,"[('mutton pepper fry', 1), ('yakhni pulao', 3), ('roti', 2)]",0,118.6,2195,5,3.97,4.6911
ORD109489,REST1572,CUST08252,COUR0617,-37.820637299999994,144.95686659999998,2020-12-06,22:13:11,0,1,Bike,"[('sea food', 2), ('bbq chicken', 2), ('mocktails', 1), ('wedges', 1)]",10,83.655,877,4,7.42,4.1641
ORD289793,REST1137,CUST01147,COUR1811,-37.8245929,144.95346130000001,2020-20-11,07:46:48,0,0,Car,"[('pizza', 1), ('cocktails', 3), ('momos', 2)]",0,96.32,3320,8,7.68,3.2004
ORD120296,REST1137,CUST01808,COUR0685,-37.79958370000001,144.96338740000002,2020-12-14,01:46:48,0,0,Car,"[('pizza', 3), ('cocktails', 2)]",0,63.87,1941,5,9.6,3.3138
ORD254251,REST1572,CUST08823,COUR4747,-37.8011167,144.9609366,2020-08-12,17:28:21,0,0,Bike,"[('bbq chicken', 3), ('veg starter', 3)]",10,93.42,2120,11,9.28,3.8121
ORD019119,REST1137,CUST12953,COUR1721,-37.8111309,144.952352,2020-09-02,09:09:53,0,0,bike,"[('chicken biryani', 2), ('crispy corn', 2), ('cocktails', 1)]",0,96.57,2264,11,7.68,3.4063
ORD004933,REST1137,CUST06937,COUR4391,-37.8059794,144.9557488,2020-10-10,14:10:32,0,1,Bike,"[('crispy corn', 3), ('chicken kebab', 2), ('gulab jamun', 1), ('chicken biryani', 1)]",0,122.59,1865,9,9.6,4.4605
ORD105360,REST2185,CUST10357,COUR2413,-37.8272185,144.99388169999997,2020-03-01,01:50:46,0,1,Motorbike,"[('rajma', 1), ('sweet lassi', 1), ('jeera rice', 2), ('biryani', 3)]",45,54.703,3836,8,6.54,4.5526
ORD348211,REST1137,CUST06675,COUR2169,-37.808055700000004,144.9714543,2020-01-11,05:20:26,0,1,Motorbike,"[('chicken kebab', 3), ('crispy corn', 2)]",40,45.21,423,1,7.68,3.7981
ORD324267,REST2155,CUST02995,COUR4770,-37.802384499999995,144.98117280000002,2020-11-04,23:56:02,0,0,Car,"[('butter kulcha', 2), ('kulfi', 2), ('palak paneer', 3)]",10,74.088,3020,7,7.63,3.362
ORD177315,REST1946,CUST08398,COUR2820,-37.7993521,144.9640569,2020-08-17,05:56:02,0,0,Car,"[('biryani', 2), ('roti', 1), ('butter naan', 1), ('mutton pepper fry', 2)]",10,93.879,3106,7,4.96,3.6326
ORD166242,REST2155,CUST05799,COUR0445,-37.8240744,144.98875769999998,2020-07-10,00:00:00,0,0,Car,"[('thali', 1), ('palak paneer', 2), ('biryani', 1), ('sweet lassi', 2)]",0,52.77,2648,6,9.54,3.2693
ORD004649,REST2155,CUST05772,COUR1832,-37.8114828,144.9441811,2020-04-10,09:25:42,0,0,Motorbike,"[('kulfi', 2), ('sweet lassi', 3), ('palak paneer', 2)]",45,29.579,6180,12,9.54,3.7841
ORD317737,REST2185,CUST10434,COUR2455,-37.8181002,144.9667358,2020-08-05,09:17:48,0,0,Bike,"[('protein chapati', 3), ('biryani', 3)]",40,44.748,1210,6,8.18,3.5059
ORD130515,REST1946,CUST11554,COUR4029,-37.8184305,144.99460119999998,2020-09-16,20:46:09,0,0,Car,"[('paneer malai tikka', 1), ('butter naan', 1), ('mutton pepper fry', 3)]",40,61.932,5918,14,4.96,4.7244
ORD188069,REST2155,CUST05178,COUR1584,-37.8250195,144.95703269999998,2020-04-27,18:15:49,1,0,Motorbike,"[('sweet lassi', 3), ('biryani', 2), ('thali', 2)]",0,50.64,5127,10,9.54,4.831
ORD180733,REST2155,CUST06555,COUR2304,-37.8247138,144.9847144,2020-08-09,14:30:19,0,1,bike,"[('thali', 1), ('kulfi', 1), ('cheese naan', 2)]",45,35.717,3131,8,9.54,4.5339
ORD239137,REST1572,CUST08704,COUR2616,-37.8172189,144.9680139,2020-07-22,03:01:58,0,0,Car,"[('caramel pudding', 1), ('wedges', 1)]",20,26.328,210,1,9.28,2.6893
ORD230377,REST1572,CUST06038,COUR3594,-37.8060961,144.9428659,2020-03-20,01:54:43,0,0,Bike,"[('mocktails', 1), ('pizza', 2)]",0,66.1,3085,15,9.28,3.8365
ORD335779,REST1572,CUST05073,COUR0705,-37.8204541,144.9574207,2020-07-27,01:03:17,0,0,Car,"[('veg starter', 2), ('pizza', 2), ('sea food', 1)]",10,84.618,819,2,7.42,2.8337
ORD009186,REST1946,CUST12362,COUR1506,-37.80647020000001,144.9468763,2020-01-07,09:21:45,0,0,Bike,"[('paneer malai tikka', 1), ('yakhni pulao', 2), ('roti', 1), ('butter naan', 2)]",10,97.794,1067,5,4.96,3.2809
ORD220732,REST1572,CUST09402,COUR3791,-37.810297799999994,144.9613754,2020-02-06,23:12:31,0,0,Motorbike,"[('veg starter', 1), ('sea food', 2), ('cocktails', 3), ('caramel pudding', 1)]",0,70.33,1021,2,7.42,2.7037
ORD067435,REST1137,CUST09935,COUR4362,-37.817601399999994,144.9515374,2020-07-08,10:36:55,0,0,Car,"[('fish', 3), ('crispy corn', 1)]",0,38.56,2478,6,7.68,2.8232
ORD269487,REST2185,CUST01621,COUR1021,-37.8036911,144.99204640000002,2020-08-31,12:23:44,1,0,Motorbike,"[('biryani', 1), ('shahi paneer', 3), ('protein chapati', 1), ('custard', 2)]",0,105.19,4523,9,8.18,5.3882
ORD232610,REST1946,CUST13375,COUR4412,-37.817382099999996,144.9526629,2020-07-13,15:13:50,0,0,Car,"[('roti', 1), ('butter naan', 2), ('paneer malai tikka', 2)]",0,92.64,4842,5,3.97,4.0462
ORD216707,REST1137,CUST12063,COUR4755,-37.8142115,144.9632337,2020-09-27,23:44:10,0,1,Car,"[('chicken kebab', 2), ('cocktails', 2)]",40,42.864,1372,3,9.6,3.6417
ORD058027,REST1572,CUST07005,COUR1909,-37.8062531,144.9557032,2020-06-14,15:57:21,0,1,Bike,"[('veg starter', 2), ('cocktails', 2), ('bbq chicken', 3)]",45,52.806,5591,9,9.28,4.1569
ORD222850,REST1572,CUST09420,COUR4256,-37.809415200000004,144.9637725,2020-11-23,15:41:32,0,0,Car,"[('caramel pudding', 2), ('mocktails', 2), ('sea food', 3)]",0,100.4,1091,3,7.42,3.2128
ORD009076,REST1572,CUST00808,COUR3060,-37.8183985,144.95447990000002,2020-11-25,05:48:07,0,0,Motorbike,"[('sea food', 1), ('wedges', 3), ('caramel pudding', 2)]",20,76.648,1237,2,7.42,2.5429
ORD187276,REST2155,CUST11044,COUR3409,-37.80854779999999,144.9533085,2020-12-08,14:06:35,0,0,Car,"[('palak paneer', 3), ('thali', 2)]",20,46.336,4788,11,7.63,4.1025
ORD080566,REST1946,CUST09175,COUR2274,-37.81803370000001,144.95787180000002,2020-08-31,06:39:33,0,0,Car,"[('butter naan', 3), ('biryani', 1), ('mutton pepper fry', 3)]",45,65.83,1800,6,3.97,3.5028
ORD333950,REST1946,CUST01471,COUR0970,-37.814103499999995,144.9736357,2020-12-14,03:41:32,0,0,Car,"[('biryani', 2), ('mutton pepper fry', 3), ('yakhni pulao', 2), ('chicken tenders', 3)]",10,161.541,4078,10,3.97,4.1725
ORD202281,REST2155,CUST04803,COUR4921,-37.804481,144.921904,2020-05-05,21:57:21,0,0,Car,"[('kulfi', 1), ('palak paneer', 2)]",0,31.34,7535,18,7.63,4.297
ORD337854,REST2185,CUST10268,COUR2093,-37.826402,144.951862,2020-01-29,04:48:47,0,0,Bike,"[('shahi paneer', 2), ('biryani', 2), ('custard', 3)]",20,105.968,532,3,6.54,3.3675
ORD109284,REST1946,CUST12320,COUR0374,-37.815595,144.95821819999998,2020-11-29,20:50:06,0,1,Car,"[('mutton pepper fry', 1), ('chicken tenders', 3), ('biryani', 3), ('paneer malai tikka', 1)]",0,134.06,2514,6,3.97,5.1199
ORD220841,REST1572,CUST07464,COUR4567,-37.801098100000004,144.99518590000002,2020-12-17,17:48:07,0,0,Bike,"[('veg starter', 2), ('cocktails', 2), ('bbq chicken', 2)]",40,48.024,3849,19,9.28,4.4837
ORD306272,REST1572,CUST06628,COUR0694,-37.8245097,144.98288069999998,2020-11-17,14:18:27,0,0,Bike,"[('sea food', 1), ('bbq chicken', 1), ('veg starter', 2)]",0,64.07,2022,10,9.28,3.4798
ORD308856,REST1946,CUST03657,COUR3231,-37.8003751,144.9699201,2020-02-28,02:18:27,0,0,Bike,"[('mutton pepper fry', 2), ('yakhni pulao', 1), ('butter naan', 3)]",40,82.592,3627,18,4.96,5.0657
ORD199137,REST1946,CUST08192,COUR0531,-37.817751200000004,145.0054342,2020-02-15,15:49:27,0,1,Bike,"[('biryani', 1), ('paneer malai tikka', 1), ('yakhni pulao', 1), ('roti', 3)]",40,67.98,6848,34,4.96,7.6737
ORD342583,REST1137,CUST01759,COUR2268,-37.8128208,144.9718045,2020-10-31,13:30:59,1,1,Bike,"[('pizza', 2), ('momos', 2)]",45,16.709,739,4,9.6,4.8741
ORD139933,REST2155,CUST08845,COUR3878,-37.817918799999994,144.95118259999998,2020-27-09,13:58:40,1,1,Bike,"[('sweet lassi', 3), ('butter kulcha', 1), ('kulfi', 2)]",0,45.0,5177,26,9.54,7.8383
ORD042012,REST1572,CUST09546,COUR1285,-37.827409100000004,145.013615,2020-12-14,00:19:46,0,0,Car,"[('pizza', 1), ('caramel pudding', 3)]",45,35.332,4564,11,9.28,3.6735
ORD025014,REST2185,CUST00180,COUR2704,-37.8238054,144.9624781,2020-01-22,09:21:45,0,0,Motorbike,"[('custard', 3), ('protein chapati', 2), ('biryani', 1)]",0,103.34,749,1,6.54,2.8871
ORD210722,REST1137,CUST02281,COUR3175,-37.8192407,144.9633012,2020-12-11,20:02:38,0,0,Car,"[('cocktails', 2), ('pizza', 2), ('fish', 3), ('chicken biryani', 3)]",10,114.345,2040,5,9.6,3.243
ORD126402,REST1137,CUST00449,COUR3831,-37.8179149,144.95056619999997,2020-07-05,07:03:17,0,1,Bike,"[('momos', 2), ('fish', 3), ('cocktails', 3)]",0,109.67,2937,15,9.6,4.9079
ORD249236,REST1137,CUST10423,COUR2430,-37.8195356,144.96165159999998,2020-06-07,14:38:14,0,1,Motorbike,"[('fish', 2), ('cocktails', 1)]",0,36.31,2185,4,7.68,3.7919
ORD256472,REST1946,CUST01007,COUR0000,-37.802884399999996,144.933945,2020-12-09,14:54:03,0,0,Bike,"[('roti', 3), ('chicken tenders', 1)]",20,55.312,498,2,4.96,3.1244
ORD299568,REST1137,CUST12017,COUR0092,-37.8196922,144.9989929,2020-03-30,20:30:19,0,0,Motorbike,"[('cocktails', 3), ('murgh ghee roast', 3), ('chicken kebab', 2), ('gulab jamun', 1)]",0,134.09,3234,6,9.6,3.4207
ORD326261,REST1946,CUST09108,COUR4575,-37.8161002,144.9528211,2020-10-05,07:34:56,0,0,Motorbike,"[('biryani', 2), ('chicken tenders', 2)]",0,98.41,1954,4,4.96,3.856
ORD138655,REST1137,CUST05985,COUR1339,-37.8196174,144.9687616,2020-02-04,08:34:17,0,0,Motorbike,"[('crispy corn', 1), ('pizza', 3), ('gulab jamun', 1)]",45,32.368,2597,5,7.68,2.9941
ORD019102,REST1572,CUST07469,COUR4154,-37.8047703,144.9646829,2020-08-31,08:06:35,0,0,Bike,"[('cocktails', 1), ('caramel pudding', 1)]",0,19.18,1709,9,9.28,3.5894
ORD096638,REST2155,CUST06525,COUR4629,-37.8242,144.9832969,2020-11-16,23:08:34,0,0,Car,"[('palak paneer', 3), ('kulfi', 1), ('cheese naan', 1), ('biryani', 3)]",10,79.911,3280,8,9.54,3.3955
ORD127951,REST1946,CUST00158,COUR1217,-37.8138709,145.0024239,2020-11-15,22:48:47,0,1,Car,"[('chicken tenders', 2), ('roti', 3)]",40,50.316,6316,15,3.97,5.5555
ORD077315,REST2185,CUST03405,COUR1605,-37.7990831,144.9799831,2020-10-09,08:06:35,0,0,Car,"[('rajma', 2), ('biryani', 1), ('sweet lassi', 1), ('protein chapati', 3)]",20,62.864,4068,10,8.18,3.7738
ORD141226,REST1137,CUST10123,COUR1419,-37.803495299999994,144.9629891,2020-03-30,23:04:36,0,0,Motorbike,"[('fish', 3), ('momos', 3)]",0,48.06,1589,3,9.6,2.8822
ORD006523,REST2155,CUST07394,COUR2387,-37.823695,144.96721589999999,2020-07-29,19:11:12,1,0,Motorbike,"[('palak paneer', 2), ('cheese naan', 1), ('sweet lassi', 1), ('thali', 2)]",45,41.162,4460,9,9.54,4.9204
ORD005456,REST1946,CUST05770,COUR1450,-37.8089536,144.9425035,2020-06-23,05:52:05,0,0,Motorbike,"[('biryani', 1), ('roti', 3), ('mutton pepper fry', 2), ('chicken tenders', 1)]",0,127.69,691,1,3.97,3.2299
ORD025555,REST1572,CUST04585,COUR2601,-37.81363820000001,144.94808469999998,2020-05-10,07:46:48,0,1,Bike,"[('pizza', 3), ('caramel pudding', 2)]",0,96.4,2302,5,9.28,4.1049
ORD180960,REST2185,CUST02764,COUR2396,-37.794305,144.98739750000001,2020-07-03,23:04:36,0,0,Bike,"[('custard', 1), ('biryani', 2), ('shahi paneer', 2)]",0,83.9,5120,26,8.18,5.0582
ORD225030,REST1946,CUST13859,COUR1437,-37.8183066,144.96484130000002,2020-03-21,18:07:54,1,1,Bike,"[('biryani', 2), ('chicken tenders', 1), ('butter naan', 2)]",45,38.478,3396,17,4.96,7.4222
ORD013166,REST1572,CUST02439,COUR2339,-37.79951679999999,144.9823491,2020-08-07,20:46:09,0,0,Car,"[('mocktails', 2), ('caramel pudding', 3)]",0,81.64,3022,7,7.42,3.3163
ORD193515,REST1946,CUST10039,COUR3121,-37.8045351,144.9633718,2020-06-22,14:02:38,0,0,Bike,"[('roti', 2), ('yakhni pulao', 1)]",0,56.39,2688,13,4.96,4.6601
ORD126615,REST1572,CUST08750,COUR3309,-37.8136041,144.96572319999999,2020-07-24,10:29:00,0,0,Bike,"[('bbq chicken', 2), ('mocktails', 3), ('cocktails', 3)]",0,108.74,594,3,7.42,2.9222
